Frame,Timestamp,Plant,Disease,Confidence,Source
23064,2026-02-03T15:19:46,Unknown,Tomato leaf bacterial spot,0.5070,webcam
23065,2026-02-03T15:19:46,Unknown,Tomato leaf bacterial spot,0.5994,webcam
23066,2026-02-03T15:19:46,Unknown,Tomato leaf bacterial spot,0.5819,webcam
23067,2026-02-03T15:19:47,Unknown,Tomato leaf bacterial spot,0.5968,webcam
23072,2026-02-03T15:19:47,Unknown,Tomato Early blight leaf,0.5057,webcam
23092,2026-02-03T15:19:51,Unknown,Tomato leaf bacterial spot,0.5078,webcam
23204,2026-02-03T15:20:12,Unknown,Tomato leaf late blight,0.5861,webcam
23205,2026-02-03T15:20:12,Unknown,Tomato leaf late blight,0.5536,webcam
23374,2026-02-03T15:20:43,Unknown,Tomato leaf late blight,0.5748,webcam
23489,2026-02-03T15:21:05,Unknown,Tomato Septoria leaf spot,0.5195,webcam
23620,2026-02-03T15:21:29,Unknown,Tomato Septoria leaf spot,0.5620,webcam
23621,2026-02-03T15:21:29,Unknown,Tomato Septoria leaf spot,0.6489,webcam
23626,2026-02-03T15:21:30,Unknown,Tomato Septoria leaf spot,0.6024,webcam
23653,2026-02-03T15:21:35,Unknown,Tomato leaf late blight,0.5114,webcam
23670,2026-02-03T15:21:38,Unknown,Tomato leaf late blight,0.7008,webcam
23670,2026-02-03T15:21:38,Unknown,Tomato leaf late blight,0.5344,webcam
23672,2026-02-03T15:21:39,Unknown,Tomato leaf late blight,0.7453,webcam
23672,2026-02-03T15:21:39,Unknown,Tomato leaf late blight,0.6580,webcam
23673,2026-02-03T15:21:39,Unknown,Tomato leaf late blight,0.7204,webcam
23673,2026-02-03T15:21:39,Unknown,Tomato leaf late blight,0.6034,webcam
23674,2026-02-03T15:21:39,Unknown,Tomato leaf late blight,0.6764,webcam
23674,2026-02-03T15:21:39,Unknown,Tomato leaf late blight,0.6113,webcam
23675,2026-02-03T15:21:39,Unknown,Tomato leaf late blight,0.6269,webcam
23676,2026-02-03T15:21:40,Unknown,Tomato leaf late blight,0.6180,webcam
23677,2026-02-03T15:21:40,Unknown,Tomato leaf late blight,0.6156,webcam
23678,2026-02-03T15:21:40,Unknown,Tomato leaf late blight,0.5758,webcam
23680,2026-02-03T15:21:40,Unknown,Tomato leaf late blight,0.5940,webcam
23682,2026-02-03T15:21:41,Unknown,Tomato leaf late blight,0.5366,webcam
23683,2026-02-03T15:21:41,Unknown,Tomato leaf late blight,0.5362,webcam
23729,2026-02-03T15:21:50,Unknown,Tomato Septoria leaf spot,0.5889,webcam
24212,2026-02-03T15:23:35,Unknown,Tomato leaf bacterial spot,0.5156,webcam
24603,2026-02-03T15:24:55,Unknown,Tomato Early blight leaf,0.5065,webcam
